Timestamp,AT,V,AP,RH,PE,CO2,Predicted_PE,Residual,Anomaly
2020-01-01 00:00:00,8.34,40.77,1010.84,90.01,480.48,394.760006986098,481.4146426659732,-0.9346426659731719,1
2020-01-01 01:00:00,23.64,58.49,1011.4,74.2,445.75,364.1755545065817,444.1165298860753,1.6334701139247159,1
2020-01-01 02:00:00,29.74,56.9,1007.15,41.91,438.76,358.8692538685229,437.6454315469792,1.1145684530208086,1
2020-01-01 03:00:00,19.07,49.69,1007.22,76.79,453.09,370.8434800300041,452.24814637805383,0.841853621946143,1
2020-01-01 04:00:00,11.8,40.66,1017.13,97.2,464.43,385.0810022218682,469.6109783193515,-5.180978319351482,1
2020-01-01 05:00:00,13.97,39.16,1016.05,84.6,470.96,384.31822465832477,468.6807617784449,2.27923822155509,1
2020-01-01 06:00:00,22.1,71.29,1008.2,75.38,442.35,363.425969895475,443.2024023115549,-0.8524023115548971,1
2020-01-01 07:00:00,14.47,41.76,1021.98,78.41,464.0,381.6099916357662,465.3780385802027,-1.3780385802027126,1
2020-01-01 08:00:00,31.25,69.51,1010.25,36.83,428.77,355.65178035661194,433.7216833617219,-4.951683361721905,1
2020-01-01 09:00:00,6.77,38.18,1017.8,81.13,484.31,397.70222960403464,485.0027190293106,-0.6927190293105809,1
2020-01-01 10:00:00,28.28,68.67,1006.36,69.9,435.29,355.5515517247929,433.5994533229182,1.6905466770818407,1
2020-01-01 11:00:00,22.99,46.93,1014.15,49.42,451.41,370.7943035527002,452.1881750642686,-0.7781750642685665,1
2020-01-01 12:00:00,29.3,70.04,1010.95,61.23,426.25,356.5564430079311,434.82493049747694,-8.574930497476942,-1
2020-01-01 13:00:00,8.14,37.49,1009.04,80.33,480.66,394.8169724123843,481.48411269802966,-0.8241126980296372,1
2020-01-01 14:00:00,16.92,44.6,1017.34,58.75,460.17,380.60008023064495,464.1464393056646,-3.9764393056645986,1
2020-01-01 15:00:00,22.72,64.15,1021.14,60.34,453.13,367.9699065694053,448.7437884992748,4.38621150072521,1
2020-01-01 16:00:00,18.14,43.56,1012.83,47.1,461.71,379.36175818639873,462.636290471218,-0.9262904712180102,1
2020-01-01 17:00:00,11.49,44.63,1020.44,86.04,471.08,388.14096602022397,473.3426414880781,-2.2626414880780885,1
2020-01-01 18:00:00,9.94,40.46,1018.9,68.51,473.74,391.51583247246435,477.4583322834931,-3.718332283493112,1
2020-01-01 19:00:00,23.54,41.1,1002.05,38.05,448.56,368.9109951184097,449.8914574614753,-1.3314574614752814,1
2020-01-01 20:00:00,14.9,52.05,1015.11,77.33,464.82,378.58498139161503,461.68900169709156,3.130998302908438,1
2020-01-01 21:00:00,33.8,64.96,1004.88,49.37,427.28,356.18016257917196,434.3660519258195,-7.086051925819504,1
2020-01-01 22:00:00,25.37,68.31,1011.12,70.99,441.76,359.53240403856574,438.45415126654365,3.305848733456344,1
2020-01-01 23:00:00,7.29,41.04,1024.06,89.19,474.71,394.2845766319592,480.83484955116984,-6.124849551169859,1
2020-01-02 00:00:00,13.55,40.71,1019.13,75.44,467.21,384.7534036536489,469.2114678703036,-2.0014678703035997,1
2020-01-02 01:00:00,6.39,35.57,1025.53,77.23,487.69,398.1852470620827,485.591764709857,2.098235290143009,1
2020-01-02 02:00:00,26.64,62.44,1011.81,72.46,438.67,362.128896166293,441.6206050808451,-2.9506050808450937,1
2020-01-02 03:00:00,7.84,41.39,1018.21,91.92,485.66,394.2134642530735,480.7481271378945,4.911872862105497,1
2020-01-02 04:00:00,21.82,58.66,1011.71,64.37,452.16,368.3038369200202,449.151020634171,3.0089793658290205,1
2020-01-02 05:00:00,27.17,67.45,1015.67,49.03,429.87,358.36843371428523,437.03467526132346,-7.164675261323453,1
2020-01-02 06:00:00,13.42,41.23,994.17,95.79,468.82,383.78979576937456,468.03633630411537,0.783663695884627,1
2020-01-02 07:00:00,20.77,56.85,1012.4,83.63,442.85,367.4903119069092,448.1589169596454,-5.308916959645387,1
2020-01-02 08:00:00,8.29,36.08,1020.38,81.53,483.26,394.7812164413137,481.4405078552606,1.8194921447393995,1
